uuid,ndvi_peak_date,ndvi_peak_value,peak_position
01ee39ab-c1d1-42ca-a83a-83b6b09984e4,2023-12-09,0.7118458049886613,1
01ee39ab-c1d1-42ca-a83a-83b6b09984e4,2024-04-22,0.5351541950113375,1
01f070b7-9228-4129-851e-1ea8b07bc5ba,2021-01-03,0.8011133786848073,1
01f070b7-9228-4129-851e-1ea8b07bc5ba,2022-01-03,0.8266666666666675,1
01f070b7-9228-4129-851e-1ea8b07bc5ba,2022-12-29,0.5144421768707494,2
01f070b7-9228-4129-851e-1ea8b07bc5ba,2024-02-27,0.7865442176870762,1
01f070b7-9228-4129-851e-1ea8b07bc5ba,2024-05-02,0.8112834467120184,2
01f070b7-9228-4129-851e-1ea8b07bc5ba,2024-12-13,0.7794892290249444,3
01f53fca-dc66-4b8e-9ee3-ea778f949dbd,2020-05-23,0.6497392290249454,1
01f53fca-dc66-4b8e-9ee3-ea778f949dbd,2020-12-04,0.6662993197278909,2
01f53fca-dc66-4b8e-9ee3-ea778f949dbd,2021-12-29,0.7576009070294782,1
01f53fca-dc66-4b8e-9ee3-ea778f949dbd,2022-04-23,0.6337120181405921,1
01f53fca-dc66-4b8e-9ee3-ea778f949dbd,2022-12-19,0.7297044595616019,2
01f53fca-dc66-4b8e-9ee3-ea778f949dbd,2024-01-03,0.7589863945578254,1
01f53fca-dc66-4b8e-9ee3-ea778f949dbd,2024-04-27,0.7044217687074835,2
020a7c2d-7c5d-4bf8-9383-1f5f320a655b,2022-01-08,0.42701587301587385,1
020a7c2d-7c5d-4bf8-9383-1f5f320a655b,2024-02-07,0.8462301587301583,1
020c3106-906b-4aa9-b4e4-4a3cdd79fa64,2020-12-04,0.7732380952380962,1
020c3106-906b-4aa9-b4e4-4a3cdd79fa64,2021-12-29,0.5567868480725633,1
020c3106-906b-4aa9-b4e4-4a3cdd79fa64,2023-12-29,0.7038106575963727,1
020c3106-906b-4aa9-b4e4-4a3cdd79fa64,2024-04-27,0.6938185941043101,1
02173661-6e91-4137-92a8-50f78696dc60,2020-12-14,0.4451564625850347,1
02173661-6e91-4137-92a8-50f78696dc60,2022-01-03,0.5070748299319741,1
02173661-6e91-4137-92a8-50f78696dc60,2023-12-24,0.7775563114134549,1
0234d1f6-f5c8-46e0-a5a3-ca96392b650a,2020-03-29,0.7807135298563878,1
0234d1f6-f5c8-46e0-a5a3-ca96392b650a,2020-12-19,0.8067845804988674,2
0234d1f6-f5c8-46e0-a5a3-ca96392b650a,2021-12-29,0.8266394557823133,1
0234d1f6-f5c8-46e0-a5a3-ca96392b650a,2022-12-04,0.5450181405895679,1
0234d1f6-f5c8-46e0-a5a3-ca96392b650a,2024-03-13,0.8604784580498882,1
024955c9-c253-48fc-ba18-a7006786b5fc,2020-05-23,0.7190657596371889,1
024955c9-c253-48fc-ba18-a7006786b5fc,2020-12-19,0.7844444444444442,2
024955c9-c253-48fc-ba18-a7006786b5fc,2021-12-29,0.7296156462585035,1
024955c9-c253-48fc-ba18-a7006786b5fc,2023-01-08,0.7152267573696157,1
024955c9-c253-48fc-ba18-a7006786b5fc,2023-05-28,0.5512766439909309,2
024955c9-c253-48fc-ba18-a7006786b5fc,2024-01-03,0.7579274376417242,1
024955c9-c253-48fc-ba18-a7006786b5fc,2024-05-02,0.7793129251700687,2
0255919c-1555-4ecc-b26d-0cc8d18f3164,2020-05-18,0.5895963718820874,1
0255919c-1555-4ecc-b26d-0cc8d18f3164,2020-12-24,0.6232721088435362,2
0255919c-1555-4ecc-b26d-0cc8d18f3164,2021-12-29,0.8023945578231293,1
0255919c-1555-4ecc-b26d-0cc8d18f3164,2023-12-19,0.7118662131519289,1
0255919c-1555-4ecc-b26d-0cc8d18f3164,2024-05-22,0.5527675736961462,1
0255919c-1555-4ecc-b26d-0cc8d18f3164,2024-12-18,0.5609752456538174,2
025a43e1-ae54-466f-b598-4cdf43396534,2020-04-03,0.6678590325018904,1
025a43e1-ae54-466f-b598-4cdf43396534,2020-12-24,0.5670068027210884,2
025a43e1-ae54-466f-b598-4cdf43396534,2021-04-23,0.4534648526077102,1
025a43e1-ae54-466f-b598-4cdf43396534,2022-01-08,0.7001848072562376,1
025a43e1-ae54-466f-b598-4cdf43396534,2024-01-23,0.6157301587301593,1
027852ae-b1c0-48fa-b42d-3832efa88a86,2020-05-18,0.7028276643990944,1
027852ae-b1c0-48fa-b42d-3832efa88a86,2020-12-24,0.8262868480725626,2
027852ae-b1c0-48fa-b42d-3832efa88a86,2021-05-03,0.6762222222222213,1
027852ae-b1c0-48fa-b42d-3832efa88a86,2021-12-29,0.8212040816326543,2
