uuid,year,high_ndmi_days
0e58a13f-39ca-4a8b-8758-86bccb90abeb,2021,10
0e9c6223-045e-45d6-911b-353fcbd972e3,2020,0
0e9c6223-045e-45d6-911b-353fcbd972e3,2021,0
0e9c6223-045e-45d6-911b-353fcbd972e3,2022,5
0eac084f-b1d0-4917-a008-3973fcaea39c,2023,5
0eac084f-b1d0-4917-a008-3973fcaea39c,2024,0
0ed7c9a3-9d46-4079-af3e-4ffde2853087,2023,5
0ee1b634-341a-42e5-876b-1476371c85c1,2023,5
0ef4b9a5-0771-4f34-99bf-eaf0809cc41d,2021,5
0ef4b9a5-0771-4f34-99bf-eaf0809cc41d,2022,0
0f06d583-b296-442d-b6d6-5f482c4a3318,2023,5
0f06d583-b296-442d-b6d6-5f482c4a3318,2024,15
0f0b5659-19bf-4d16-83d6-34a300b70166,2022,5
0f0b5659-19bf-4d16-83d6-34a300b70166,2023,0
0f128807-92f1-40ec-bc53-222d09f69066,2022,5
0f128807-92f1-40ec-bc53-222d09f69066,2023,15
0f318d98-4908-479e-b656-60d59eb00a92,2020,0
0f3de899-d7ef-405b-b5e2-35e47932f926,2020,5
0f3de899-d7ef-405b-b5e2-35e47932f926,2021,360
0f3de899-d7ef-405b-b5e2-35e47932f926,2022,0
0f3de899-d7ef-405b-b5e2-35e47932f926,2023,40
0f3de899-d7ef-405b-b5e2-35e47932f926,2024,355
0f430182-39da-436c-a8fb-feb8cb8fcff5,2021,5
0f430182-39da-436c-a8fb-feb8cb8fcff5,2022,0
0f5025fd-aee5-4746-9f0b-2ab716a7380c,2024,0
0f99fdb7-72f6-468a-9509-109868a87c3d,2020,15
0f99fdb7-72f6-468a-9509-109868a87c3d,2021,0
0f99fdb7-72f6-468a-9509-109868a87c3d,2022,10
0fb3eae3-70a1-4d01-8ca7-b61e256b8a54,2021,5
0fb3eae3-70a1-4d01-8ca7-b61e256b8a54,2022,0
0fb3eae3-70a1-4d01-8ca7-b61e256b8a54,2024,20
1007351b-6774-48b6-903e-98de5994fcd6,2024,0
105af959-2050-4fc7-930e-ce4d2f9fb0da,2020,5
105af959-2050-4fc7-930e-ce4d2f9fb0da,2022,10
10965d3f-d300-4203-aaa1-9796ccd36ca9,2024,10
10988252-826a-4452-8862-61518947746f,2024,0
10b34085-f901-439e-a14c-57a0e3a7edcb,2020,0
10b34085-f901-439e-a14c-57a0e3a7edcb,2023,0
10b34085-f901-439e-a14c-57a0e3a7edcb,2024,5
10bfa029-26ee-446d-b08b-f3e33f1d80ec,2022,5
10cfe4a8-c72d-4967-84ee-fb32437bdc87,2021,0
10cfe4a8-c72d-4967-84ee-fb32437bdc87,2022,5
10cfe4a8-c72d-4967-84ee-fb32437bdc87,2024,10
10d917ea-6c30-499d-a844-769bddab7b0f,2020,345
10d917ea-6c30-499d-a844-769bddab7b0f,2021,5
10d917ea-6c30-499d-a844-769bddab7b0f,2022,0
10d917ea-6c30-499d-a844-769bddab7b0f,2023,30
10d917ea-6c30-499d-a844-769bddab7b0f,2024,350
10ee4996-dc26-4721-8269-9f5a66dc55e9,2024,5
10f66200-95ee-4383-946f-cdd93e1fda8c,2020,0
10f66200-95ee-4383-946f-cdd93e1fda8c,2024,0
1102ef7d-f60a-4e4f-bf28-408f90555922,2020,20
1102ef7d-f60a-4e4f-bf28-408f90555922,2021,5
1102ef7d-f60a-4e4f-bf28-408f90555922,2022,10
1102ef7d-f60a-4e4f-bf28-408f90555922,2023,0
1102ef7d-f60a-4e4f-bf28-408f90555922,2024,355
1103c41e-50ce-43d1-a6b1-e790e36dbccf,2020,25
1103c41e-50ce-43d1-a6b1-e790e36dbccf,2021,360
1103c41e-50ce-43d1-a6b1-e790e36dbccf,2022,5
1103c41e-50ce-43d1-a6b1-e790e36dbccf,2023,20
1103c41e-50ce-43d1-a6b1-e790e36dbccf,2024,350
11114a53-21a6-4114-92ea-0c72280d3a17,2020,10
11114a53-21a6-4114-92ea-0c72280d3a17,2022,0
11114a53-21a6-4114-92ea-0c72280d3a17,2023,5
111b0e32-a520-49d3-bb89-c98e95c90e6f,2020,0
111b0e32-a520-49d3-bb89-c98e95c90e6f,2022,5
111b0e32-a520-49d3-bb89-c98e95c90e6f,2023,20
111b0e32-a520-49d3-bb89-c98e95c90e6f,2024,0
11444046-f1a7-4aed-a192-f8dfd17f1609,2020,350
11444046-f1a7-4aed-a192-f8dfd17f1609,2021,0
11444046-f1a7-4aed-a192-f8dfd17f1609,2022,10
11444046-f1a7-4aed-a192-f8dfd17f1609,2024,5
11616061-1ad0-474f-9219-dbfb44a56fa0,2020,355
11616061-1ad0-474f-9219-dbfb44a56fa0,2021,360
11616061-1ad0-474f-9219-dbfb44a56fa0,2022,360
11616061-1ad0-474f-9219-dbfb44a56fa0,2023,20
116515c3-2f12-4efb-b93e-8b67113a87e6,2020,0
117b618f-a858-4815-9db1-f1eec7bd1f8b,2020,345
117b618f-a858-4815-9db1-f1eec7bd1f8b,2021,10
117b618f-a858-4815-9db1-f1eec7bd1f8b,2022,5
117b618f-a858-4815-9db1-f1eec7bd1f8b,2023,0
117b618f-a858-4815-9db1-f1eec7bd1f8b,2024,255
11875835-56aa-4175-b219-cb2eabbbfcad,2020,10
11875835-56aa-4175-b219-cb2eabbbfcad,2021,360
11875835-56aa-4175-b219-cb2eabbbfcad,2022,0
1191a3b6-29c8-42fd-8f88-c3920067b786,2021,0
1191a3b6-29c8-42fd-8f88-c3920067b786,2023,10
119506a6-e332-49d0-ad64-a99ec7b790ac,2020,350
119506a6-e332-49d0-ad64-a99ec7b790ac,2021,360
119506a6-e332-49d0-ad64-a99ec7b790ac,2022,40
119506a6-e332-49d0-ad64-a99ec7b790ac,2023,355
119506a6-e332-49d0-ad64-a99ec7b790ac,2024,140
11a3355a-0137-4140-acb9-52686e4a7c35,2021,0
11a3355a-0137-4140-acb9-52686e4a7c35,2022,5
11b3fbdc-50a2-47f5-9614-6e7aab265c14,2020,40
11b832ec-1bad-483a-9478-91dff3f674bd,2023,10
11b832ec-1bad-483a-9478-91dff3f674bd,2024,360
11b8b8f6-24a9-46b8-a517-3950ae94e1da,2024,0
11bfd3a8-ee00-4d8e-9a59-77b1e325256a,2020,0
11bfd3a8-ee00-4d8e-9a59-77b1e325256a,2021,360
11bfd3a8-ee00-4d8e-9a59-77b1e325256a,2022,0
11da13b6-d6a8-49e9-8343-3eb777bd063c,2020,0
11da13b6-d6a8-49e9-8343-3eb777bd063c,2022,0
11da13b6-d6a8-49e9-8343-3eb777bd063c,2023,10
11da13b6-d6a8-49e9-8343-3eb777bd063c,2024,0
11dbfbb8-314b-4e31-b348-79a2adbfc597,2020,50
11dbfbb8-314b-4e31-b348-79a2adbfc597,2021,5
11dbfbb8-314b-4e31-b348-79a2adbfc597,2022,10
11dbfbb8-314b-4e31-b348-79a2adbfc597,2023,25
11dbfbb8-314b-4e31-b348-79a2adbfc597,2024,325
122b3636-691c-40df-b1b1-713038162874,2023,0
122b3636-691c-40df-b1b1-713038162874,2024,5
128bacdf-13dd-4b81-9ff0-bdce76b26865,2020,20
128bacdf-13dd-4b81-9ff0-bdce76b26865,2022,0
128bacdf-13dd-4b81-9ff0-bdce76b26865,2024,20
129f5885-b069-4b91-a05d-cf2c9d04ecdc,2023,25
129f5885-b069-4b91-a05d-cf2c9d04ecdc,2024,0
12ba35d7-90dc-4941-bc43-955228680b5c,2024,15
1302cac6-12d5-4eaa-b0a5-5f6a8343ecd6,2020,5
1326bceb-9859-4f87-a846-0ac315a93449,2020,5
1326bceb-9859-4f87-a846-0ac315a93449,2023,5
135b3b8b-7ffc-449b-aecc-fffed94d1da9,2020,0
